perm,fold,epoch,train_mse_ang_ch,train_mse_ang_sac,test_mse_ang_ch,test_mse_ang_sac
obs,0,1,10793.394060740402,10740.710298687802,10805.927997278272,11067.485204123288
obs,0,2,10808.897690248583,10935.575168276668,10833.409290298714,11575.958567970787
obs,0,3,10755.275111775498,10432.152487466796,10775.959676433195,10442.72239942898
obs,0,4,10697.970880802974,10266.827590607265,10624.95198672868,9847.615374136032
obs,0,5,10692.659607410456,10158.785718399404,10745.003110826236,10459.297296380473
obs,0,6,10682.119428123471,10501.314576675933,10794.672242660468,11103.509558809985
obs,0,7,10627.392461630894,10147.15806635518,10745.181265228623,10617.408493630648
obs,0,8,10535.483441978073,10068.281430160892,10566.280107089578,10208.042697588677
obs,0,9,10604.679949071618,10150.98634971345,10684.308545188494,10607.04516630352
obs,0,10,10560.192078217216,10010.171022050887,10609.91585318279,10294.176102451524
obs,0,11,10577.811130397275,10354.729276488113,10756.400872134433,10936.136613659583
obs,0,12,10497.353895423863,9998.863461520576,10609.832181113014,10355.795479565582
obs,0,13,10524.626305673044,10069.728378008831,10667.636096600583,10467.090694221095
obs,0,14,10550.937127218465,10363.779852464637,10801.26438297794,10979.291822274856
obs,0,15,10504.083257333292,10126.122724766848,10689.696087608283,10729.046492983827
obs,0,16,10493.823493754264,10170.155247141704,10730.297146992425,10575.438781811346
obs,0,17,10542.966115174091,10456.156186415137,10843.911222234314,11097.601085274533
obs,0,18,10440.826392682871,10216.93474351044,10777.650390970748,10823.80745281241
obs,0,19,10512.059509514695,9998.65024943231,10673.503593026191,10436.738228712662
obs,0,20,10480.434030188415,10247.624820450452,10792.370411936476,10900.415527659918
obs,0,21,10527.129301497182,10065.040209856194,10706.093157747713,10581.083810636277
obs,0,22,10528.319251732077,10068.03726838888,10619.830589050503,10453.300798176348
obs,0,23,10764.080360983193,10884.155028044412,10992.265165958152,11573.20755151264
obs,0,24,10679.296900476014,10265.675483858015,10725.487204967632,10462.62962653864
obs,0,25,10815.184633857694,10831.765293702198,10799.396517685827,10820.178708917138
obs,0,26,10788.551390706572,10581.973017838063,10801.510470281339,11165.468564509101
obs,0,27,10795.85901537654,10716.564866071603,10805.46185988089,10937.323884800177
obs,0,28,10816.82471360852,10999.756400920078,10813.630935754823,11152.470025437748
obs,0,29,10788.753781038593,10660.3535424536,10770.13609902403,10329.365099008517
obs,0,30,10783.190874865779,10483.073064796305,10787.570571708402,10548.800003613225
obs,0,31,10797.045111529724,10627.32014507362,10752.201525559354,10540.41165548702
obs,0,32,10792.298085992788,10576.92865004352,10817.633059477983,10971.595797436494
obs,0,33,10850.996339875735,11504.426414819074,10787.620952792187,10475.812563786752
obs,0,34,10810.681673347899,10999.84330106223,10786.049396211836,10766.097202306684
obs,0,35,10811.790933336255,10948.773962160643,10794.50463420475,10417.50616263024
obs,0,36,10782.670865693788,10414.166287952536,10841.901219386902,11322.011698946082
obs,0,37,10808.115569194475,10836.542816863757,10743.499206471159,10050.017151946757
obs,0,38,10807.76790429468,10785.894640988243,10797.030758476414,10642.468269698511
