fold,perm,train_tn,train_fp,train_fn,train_tp,train_accuracy,train_bal_acc,train_f1_macro,train_f1_weighted,train_roc_auc,train_prec_left,train_prec_right,train_rec_left,train_rec_right,test_tn,test_fp,test_fn,test_tp,test_accuracy,test_bal_acc,test_f1_macro,test_f1_weighted,test_roc_auc,test_prec_left,test_prec_right,test_rec_left,test_rec_right,train_sac_tn,train_sac_fp,train_sac_fn,train_sac_tp,train_sac_accuracy,train_sac_bal_acc,train_sac_f1_macro,train_sac_f1_weighted,train_sac_roc_auc,train_sac_prec_left,train_sac_prec_right,train_sac_rec_left,train_sac_rec_right,test_sac_tn,test_sac_fp,test_sac_fn,test_sac_tp,test_sac_accuracy,test_sac_bal_acc,test_sac_f1_macro,test_sac_f1_weighted,test_sac_roc_auc,test_sac_prec_left,test_sac_prec_right,test_sac_rec_left,test_sac_rec_right,train_sac_opt_tn,train_sac_opt_fp,train_sac_opt_fn,train_sac_opt_tp,train_sac_opt_accuracy,train_sac_opt_bal_acc,train_sac_opt_f1_macro,train_sac_opt_f1_weighted,train_sac_opt_roc_auc,train_sac_opt_prec_left,train_sac_opt_prec_right,train_sac_opt_rec_left,train_sac_opt_rec_right,train_sac_opt_thr,test_sac_opt_tn,test_sac_opt_fp,test_sac_opt_fn,test_sac_opt_tp,test_sac_opt_accuracy,test_sac_opt_bal_acc,test_sac_opt_f1_macro,test_sac_opt_f1_weighted,test_sac_opt_roc_auc,test_sac_opt_prec_left,test_sac_opt_prec_right,test_sac_opt_rec_left,test_sac_opt_rec_right,test_sac_opt_thr
0,obs,335776,439,178759,128933,0.7217020470347426,0.7088634784569677,0.6896803256774444,0.6940960204714389,0.9554825615932347,0.9986942878812665,0.9966066845994497,0.6525814570437385,0.41903266903266906,72827,6158,76206,6617,0.49097696034806687,0.5009645479755523,0.3886083807765312,0.3826743737021383,0.4990105220920362,0.9220358295878964,0.5179647749510763,0.4886635845752283,0.07989326636320829,1644,0,1384,125,0.5610529654297495,0.5414181577203446,0.4283829496487316,0.44017389904335785,1.0,1.0,1.0,0.5429326287978864,0.0828363154406892,386,0,403,0,0.4892268694550063,0.5,0.32851063829787236,0.32143246231426803,0.5025199604006223,1.0,,0.4892268694550063,0.0,1644,0,0,1509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466,176,210,170,233,0.5183776932826363,0.5170611604674784,0.5158508700538698,0.5166044839992914,0.5025199604006223,0.45595854922279794,0.5259593679458239,0.5086705202312138,0.5781637717121588,0.48
1,obs,330375,1397,166450,146929,0.7398330003363554,0.7323216422105969,0.7169474812628926,0.7192420712366081,0.9487575423154478,0.9957892769733432,0.9905815568410123,0.66497257585669,0.46885400744785066,73338,10090,67571,9565,0.5163237089260357,0.5015295769618657,0.42573113274268815,0.4346692176586498,0.5094604657298482,0.8790573908040467,0.4866446196896464,0.5204635615893946,0.12400176311968471,1619,0,1118,416,0.6454170631144941,0.635593220338983,0.5850045913682278,0.5892731367534585,1.0,1.0,1.0,0.5915235659481184,0.2711864406779661,411,0,378,0,0.5209125475285171,0.5,0.3425,0.35682509505703425,0.5320035015898763,1.0,,0.5209125475285171,0.0,1619,0,0,1534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47600000000000003,216,195,171,207,0.5361216730038023,0.5365832464372611,0.5360613071139386,0.5362826487101051,0.5320035015898763,0.5255474452554745,0.5149253731343284,0.5581395348837209,0.5476190476190477,0.487
2,obs,322829,6237,102958,213027,0.8307188113808055,0.8276072165204967,0.8256674207871301,0.8262692061859013,0.9571897796173348,0.9810463554423733,0.9715548380035026,0.7581936508160183,0.6741680775986202,65215,20919,56792,17738,0.5163135487725937,0.4975661771344822,0.47003536846323896,0.48134636124521235,0.4981972122163466,0.7571342327071772,0.45885609333367827,0.534518511232962,0.2379981215617872,1612,0,2,1540,0.9993658845909955,0.9993514915693904,0.9993655539655291,0.9993658754069549,1.0,1.0,1.0,0.9987608426270136,0.9987029831387808,418,0,370,0,0.5304568527918782,0.5,0.3466003316749585,0.36771304223383927,0.46280227596017065,1.0,,0.5304568527918782,0.0,1612,0,0,1542,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47700000000000004,35,383,22,348,0.4860406091370558,0.5121362989784043,0.38976050480424496,0.374995504778766,0.46280227596017065,0.08373205741626795,0.47606019151846785,0.6140350877192983,0.9405405405405406,0.483
3,obs,332078,1469,154681,156574,0.7578326369955428,0.7493183690413944,0.7384565953407842,0.7409176829545587,0.953674211429404,0.9955958230774073,0.9907050612807907,0.6822226194071399,0.5030409150053814,71245,10408,69160,10100,0.5055216172714448,0.4999812432885345,0.42207446535128024,0.42534029304847465,0.49735835584022825,0.8725337709575888,0.49249073532280085,0.507424949253944,0.1274287156194802,1627,0,753,774,0.7612555485098288,0.7534381139489195,0.7424149199136192,0.7446236688697986,1.0,1.0,1.0,0.6836134453781513,0.5068762278978389,403,0,385,0,0.5114213197969543,0.5,0.33837111670864817,0.3461004061766122,0.4914504849988721,1.0,,0.5114213197969543,0.0,1627,0,0,1527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47300000000000003,339,64,318,67,0.5152284263959391,0.5076085205117463,0.44965628199502705,0.4539956150803815,0.4914504849988721,0.8411910669975186,0.5114503816793893,0.5159817351598174,0.17402597402597403,0.488
4,obs,327896,2304,134500,179249,0.7875546044795473,0.7821678926820945,0.7755971795709543,0.7769205268108668,0.9605811633746072,0.9930224106602059,0.9873094908924667,0.7091237813475895,0.5713133747039831,71081,13919,63780,12986,0.5196827516288961,0.5027052452755586,0.4485613661991008,0.4586416396758017,0.5066006634370915,0.8362470588235295,0.4826612153874745,0.5270686113850557,0.16916343172758774,1618,0,172,1364,0.9454660748256183,0.9440104166666667,0.9451100858021693,0.9452250113924165,1.0,1.0,1.0,0.9039106145251397,0.8880208333333334,412,0,376,0,0.5228426395939086,0.5,0.3433333333333333,0.3590186125211506,0.5202050196240446,1.0,,0.5228426395939086,0.0,1618,0,0,1536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47500000000000003,46,366,33,343,0.4936548223350254,0.5119422639950424,0.4098153866368832,0.3996530307946842,0.5202050196240446,0.11165048543689321,0.4837799717912553,0.5822784810126582,0.9122340425531915,0.483
0,0,332051,100,248185,63571,0.6144086024845202,0.601805803704775,0.533266431562953,0.539430371431641,0.9004970725371182,0.999698932112202,0.9984294262694162,0.5722688699081063,0.20391267529734794,79645,3404,75394,3365,0.5130154256897064,0.500868712647714,0.37386300999634947,0.38168896520511325,0.49769414506914966,0.9590121494539369,0.4971192199734082,0.5137094537503467,0.042725275841491134,1638,0,1515,0,0.5195052331113226,0.5,0.34189104571070755,0.35522837480122993,0.512116925978312,1.0,,0.5195052331113226,0.0,406,0,383,0,0.514575411913815,0.5,0.3397489539748954,0.3496529158778391,0.4870930815830429,1.0,,0.514575411913815,0.0,812,826,722,793,0.5090390104662227,0.5095794194804095,0.5090211816701821,0.5091365996656027,0.512116925978312,0.49572649572649574,0.4898085237801112,0.529335071707953,0.5234323432343234,0.484,37,369,31,352,0.49302915082382764,0.5050965285727148,0.3968996514401027,0.3898806721200212,0.4870930815830429,0.09113300492610837,0.4882108183079057,0.5441176470588235,0.9190600522193212,0.483
1,0,332228,128,244391,68404,0.6209895047826013,0.6091506154386386,0.5448814990810866,0.5505244606749041,0.905740824443694,0.999614870801189,0.9981322593824783,0.5761655443195594,0.21868636007608816,78986,3858,74099,3621,0.5144802072693755,0.5000104341980722,0.3772876593762079,0.3866152599255954,0.5000854219787134,0.9534305441552798,0.4841556357801845,0.5159617206127315,0.04659032424086464,1649,0,1504,0,0.5229939739930225,0.5,0.34339858392336525,0.3591907801393145,0.5113673019108937,1.0,,0.5229939739930225,0.0,395,0,394,0,0.5006337135614702,0.5,0.33361486486486486,0.3340376973932107,0.5095868405834352,1.0,,0.5006337135614702,0.0,1330,319,1168,336,0.5283856644465589,0.5149768396062088,0.47634137436248886,0.4839333482681128,0.5113673019108937,0.8065494238932687,0.5129770992366413,0.5324259407526021,0.22340425531914893,0.486,234,161,229,165,0.5057034220532319,0.5055933945897321,0.5018939393939393,0.5019491492875523,0.5095868405834352,0.5924050632911393,0.5061349693251533,0.5053995680345572,0.41878172588832485,0.485
2,0,331973,143,252613,60322,0.6081612151597315,0.5961657513703721,0.5236863427151782,0.5296510272860393,0.8927305966065079,0.9995694275494105,0.9976349954519144,0.5678770959277164,0.19276207519133368,79672,3412,74400,3180,0.5156849076333218,0.49996153689053424,0.3737274305263207,0.38394201445662623,0.5017039936312339,0.9589331279187329,0.4824029126213592,0.517108884158056,0.040989945862335654,1620,0,1534,0,0.5136334812935954,0.5,0.33933808127356513,0.34859080004006054,0.5072858821446392,1.0,,0.5136334812935954,0.0,424,0,364,0,0.5380710659898477,0.5,0.34983498349834985,0.3764721649829958,0.5302716151772756,1.0,,0.5380710659898477,0.0,1224,396,1127,407,0.5171211160431198,0.5104374909459655,0.48238960103023343,0.4860455499789583,0.5072858821446392,0.7555555555555555,0.5068493150684932,0.5206295193534666,0.2653194263363755,0.486,175,249,136,228,0.5114213197969543,0.5195547377151151,0.5092010644923843,0.506687567921173,0.5302716151772756,0.41273584905660377,0.4779874213836478,0.5627009646302251,0.6263736263736264,0.485
3,0,332327,116,245516,66843,0.6190582535413972,0.6068226110824966,0.5412986642671255,0.5471812168540401,0.9043697032327829,0.999651068002635,0.9982675965889575,0.5751164243574812,0.21399415416235806,79117,3640,74715,3441,0.5130598522182794,0.5000215676324972,0.37477671755052167,0.3831841479459754,0.4978837892828416,0.9560158053095207,0.4859483123852563,0.5143078163191014,0.04402732995547367,1635,0,1519,0,0.5183893468611287,0.5,0.3414073919398622,0.3539639098425331,0.5096629240627888,1.0,,0.5183893468611287,0.0,409,0,379,0,0.5190355329949239,0.5,0.341687552213868,0.3546959615621117,0.4846688299540033,1.0,,0.5190355329949239,0.0,1081,554,963,556,0.5190234622701332,0.5135961812958388,0.5053171025789563,0.5083455553869115,0.5096629240627888,0.6611620795107034,0.5009009009009009,0.5288649706457925,0.36603028308097435,0.485,19,390,11,368,0.49111675126903553,0.5087155105121572,0.3669389333317306,0.35626462233425454,0.4846688299540033,0.04645476772616137,0.48548812664907653,0.6333333333333333,0.9709762532981531,0.483
4,0,331592,142,241945,70270,0.6240587375708325,0.6123206046829333,0.5499417564965806,0.5554777976779137,0.9060976695615603,0.9995719461978573,0.9979832983014258,0.5781527608506513,0.22506926316800924,79136,4330,74350,3950,0.5136184365070534,0.4992847937807149,0.379597359086876,0.38880589373365376,0.4994219623814825,0.948122588838569,0.47705314009661837,0.515590998527553,0.05044699872286079,1634,0,1520,0,0.5180722891566265,0.5,0.3412698412698413,0.35360489577357046,0.5101353636539329,1.0,,0.5180722891566265,0.0,410,0,378,0,0.5203045685279187,0.5,0.34223706176961605,0.35613501351660554,0.5010904632855853,1.0,,0.5203045685279187,0.0,1309,325,1171,349,0.5256816740646798,0.5153534271725826,0.4772520096129941,0.48300303226663177,0.5101353636539329,0.8011015911872705,0.5178041543026706,0.5278225806451613,0.22960526315789473,0.486,258,152,231,147,0.5139593908629442,0.5090785907859079,0.504119956031895,0.5069565498570623,0.5010904632855853,0.6292682926829268,0.4916387959866221,0.5276073619631901,0.3888888888888889,0.485
