train_circ_mse_rad_ch,test_circ_mse_rad_ch,train_circ_mse_deg_ch,test_circ_mse_deg_ch,fold,perm,train_circ_mse_rad_sac,train_circ_mse_deg_sac,test_circ_mse_rad_sac,test_circ_mse_deg_sac
3.274556847753996,3.2809200061795685,10749.736013281257,10770.625030166857,0,obs,3.101173008195152,10180.550443788066,3.1888489311732053,10468.373520483563
3.276545678549627,3.28242636624017,10756.264959646252,10775.570118539203,1,obs,3.1020928393835847,10183.570071454393,3.173673943984637,10418.556976179581
3.2693461064798917,3.2805850195070834,10732.630158738359,10769.525333791256,2,obs,3.0602811353105315,10046.310343818563,3.146228805305088,10328.459900645406
3.2748069297934927,3.2944913624075483,10750.556984188546,10815.17716457034,3,obs,3.1250950401346493,10259.081842144233,3.363046180889216,11040.229358005861
3.27080436382287,3.2842505006145113,10737.417335203836,10781.558398446565,4,obs,2.9804256518615717,9784.160255669058,3.1513523584755077,10345.279533527884
3.2724464041769536,3.292850134852184,10742.8078357052,10809.789332329774,0,0,3.095521487285212,10161.99759505769,3.5084166581769285,11517.452483950201
3.2716321629123972,3.3004025371179795,10740.134839311471,10834.582406445776,1,0,3.045717981433954,9998.502329796333,3.474831621297024,11407.199311615477
3.275591914060245,3.2800851740785637,10753.13393552409,10767.884438044483,2,0,3.0914044683438124,10148.482219133748,3.1042880023197768,10190.776366280634
3.273944849562616,3.283494237058626,10747.7269417324,10779.075731643023,3,0,3.0908117712558316,10146.53650936969,3.293530073491968,10812.02143921408
3.272528675214768,3.287921879155383,10743.07791559056,10793.610823233837,4,0,3.0867624468349923,10133.243361447701,3.277880427029542,10760.64668043179
3.2749030293952988,3.2893041632761917,10750.872460571582,10798.148594323144,0,1,3.134022531568522,10288.389067713026,3.1954004719977678,10489.880960304796
3.2753040023848783,3.3030884757095484,10752.18877724796,10843.399822709918,1,1,3.1122296674416683,10216.847314972449,3.4084453579461162,11189.266064733565
3.2752476179282453,3.2788100576199595,10752.003677995686,10763.698477637177,2,1,3.15966060159522,10372.553886798716,3.1105269767176154,10211.257711051421
3.2762243868882157,3.296840745985032,10755.210221339968,10822.88973589712,3,1,3.1483414648134738,10335.39535269495,3.3696540268357382,11061.921636639005
3.276575324013846,3.281884991339292,10756.362279964447,10773.792889576867,4,1,3.1292090637022314,10272.587384835988,3.1693252406729013,10404.281025333501
3.2725894600289642,3.294138764978339,10743.277460364581,10814.019655490732,0,2,3.1054484909087408,10194.586025589602,3.3216815098140073,10904.43715313402
3.27453995744459,3.2888259825763795,10749.680565666285,10796.578819685355,1,2,3.099561073713775,10175.2587750368,3.372647314388538,11071.748020024746
3.2773201844921025,3.2874672279614137,10758.80751267233,10792.118291407232,2,2,3.1128329238414656,10218.827688912386,3.1879325630221307,10465.365261298264
3.272574271500247,3.2906903069883273,10743.227599366068,10802.699035703376,3,2,3.0250341306253197,9930.601253019055,3.250634432409364,10671.20335628028
3.273067339779431,3.2874244881337313,10744.846247043959,10791.977984829522,4,2,3.0886496768215923,10139.438772031644,3.243359097813689,10647.31984167114
3.2746509854216,3.2960496503554753,10750.045049014247,10820.292722140945,0,3,3.086204826451851,10131.412801713026,3.2369970488209368,10626.434466838646
3.27209331483615,3.286270820753664,10741.64871177509,10788.190718228434,1,3,3.0919216158809855,10150.179914352673,3.2299919467300353,10603.438073212155
3.2761633415050255,3.290929919457296,10755.009821168394,10803.485637038048,2,3,3.1018552272864026,10182.790036952923,3.2219853664435183,10577.154020605696
3.278659391235972,3.293141481845645,10763.203869075089,10810.745768089968,3,3,3.1097037245341017,10208.55513355572,3.2794094123789113,10765.666043245772
3.276633948505375,3.2862985122127415,10756.5547328175,10788.281623926134,4,3,3.139593227488743,10306.67658365391,3.299395927616132,10831.277902381129
3.2756314671664466,3.2874063613126543,10753.263780712294,10791.918477986183,0,4,3.104203373603284,10190.498546592738,3.1909360120247947,10475.225002756146
3.2739811527142235,3.2811468107011548,10747.846117949019,10771.36958549053,1,4,3.0922904541495684,10151.390738962906,3.163991655413396,10386.771897775267
3.275822660833231,3.2977199228402427,10753.891432495699,10825.775903260186,2,4,3.120984774632831,10245.588636454631,3.473047022389678,11401.340818990213
3.276938160274583,3.284223336900225,10757.553401145202,10781.469225232817,3,4,3.156150706146287,10361.03157973108,3.308794181055489,10862.130548450867
3.272299890298833,3.2917099357634423,10742.326859015742,10806.046279520975,4,4,3.0530690767520117,10022.634552185997,3.3179555243051624,10892.205464245533
3.2703650763460614,3.296184084422658,10735.97523948549,10820.734043150347,0,5,3.050000926245078,10012.562408219044,3.3885675982678336,11124.011229037691
3.2739153645619092,3.2782010897617724,10747.630148184848,10761.69935408537,1,5,3.1124516903999693,10217.576173349806,3.1179765564089874,10235.713238567172
3.2745970707569168,3.299506708632397,10749.868057610662,10831.641575004784,2,5,3.070386265125932,10079.483528144254,3.328887514167791,10928.093069984832
3.2724513087335363,3.278219955406511,10742.823936414696,10761.761286343708,3,5,3.074259330496597,10092.198051737081,3.194773360331822,10487.822274145661
3.273505500459146,3.2809525514408446,10746.28464370565,10770.731869957237,4,5,3.060190688449062,10046.013424287392,3.188925326317461,10468.624310948233
3.27479439545375,3.3003026667944173,10750.515836378443,10834.25455151341,0,6,3.087313958685596,10135.053868052972,3.42290656589879,11236.739410029439
3.2766562723785735,3.2977970229476563,10756.628017770197,10826.02900798239,1,6,3.132533477965571,10283.50079308975,3.3872519120199724,11119.692085868586
3.2795418494363457,3.302034721611716,10766.1008084589,10839.940552066204,2,6,3.1749944995450172,10422.892104358742,3.4184751799004416,11222.192027934709
3.275833530872111,3.291137540503152,10753.927116728359,10804.167216725784,3,6,3.1015665632539644,10181.842408834218,3.2960250981734083,10820.212122081746
3.2757608843898485,3.2764391454804933,10753.688632395077,10755.915232210416,4,6,3.041090940139361,9983.312649252677,3.032974326170575,9956.667377375352
3.2758651608417693,3.3135799018416385,10754.030951793606,10877.841143037022,0,7,3.113900136066405,10222.33113998123,3.484741745460292,11439.732330148056
3.276220096726625,3.2870263417239625,10755.196137570261,10790.670947267296,1,7,3.1350714962758954,10291.83261571533,3.2062810360209055,10525.599744971661
3.273606281588398,3.2877575781319996,10746.615488636726,10793.071454790961,2,7,3.029890664384662,9946.54431288327,3.369701553002043,11062.07765583954
