comparison_type,iteration,mean_proba_diff,pooled_sd,norm_proba_diff,discrepancy_ratio,pearson_r,spearman_r,ccc,icc,mean_proba_diff_test,pooled_sd_test,norm_proba_diff_test,discrepancy_ratio_test,pearson_r_test,spearman_r_test,ccc_test,icc_test
within,0,0.026769006041537747,0.10020784625617361,0.2671348306708923,0.08,0.9383613485370963,0.887902197554939,0.9300693536727893,0.9350584587251024,0.05519816645952452,0.09558008279485888,0.577506995657191,0.175,0.7295765873090592,0.565116627915698,0.6459269977316253,0.6506161794349973
within,1,0.025089559258340013,0.10129756524598131,0.24768176014314786,0.08,0.9509232306174871,0.8979944498612468,0.9439389588285177,0.9489229541912624,0.047107522486021194,0.08111535328936853,0.5807473009205939,0.21,0.640949262711064,0.5378774469361736,0.6326254480719554,0.6371818818696896
within,2,0.026769006041537754,0.10020784625617359,0.26713483067089244,0.08,0.9383613485370961,0.887902197554939,0.9300693536727896,0.9350584587251023,0.04374578566102203,0.08519105881766129,0.513502077191614,0.195,0.7462929214645864,0.6718847971199281,0.7300094012131392,0.7348157639063956
within,3,0.02744328312425007,0.07991117773138408,0.343422333437492,0.065,0.8951639124863756,0.8142128553213832,0.8895428805691644,0.8944855663037538,0.045605642715465376,0.07652206003992912,0.5959803315758673,0.17,0.6430796722942003,0.5745113627840697,0.587818675762949,0.5917958396322042
within,4,0.022443323670887826,0.08480755079451929,0.26463827171787907,0.05,0.9376251913143113,0.8939353483837097,0.93274731709027,0.937737365965612,0.04963318946412561,0.086466949508329,0.5740134206925462,0.205,0.6858085039625301,0.5551068776719419,0.6423638023325017,0.6469324961479682
within,5,0.022443323670887826,0.08480755079451928,0.26463827171787907,0.05,0.9376251913143111,0.8939353483837097,0.9327473170902701,0.9377373659656117,0.04140023754359601,0.07296013765225626,0.5674363957606339,0.12,0.6911453638150314,0.6098297457436436,0.6482917986052145,0.6525936747965944
within,6,0.022443323670887826,0.08480755079451929,0.26463827171787907,0.05,0.9376251913143112,0.8939353483837097,0.9327473170902699,0.9377373659656117,0.041400237543596,0.07296013765225626,0.5674363957606338,0.12,0.6911453638150313,0.6098297457436436,0.6482917986052145,0.6525936747965944
within,7,0.024802350579530303,0.08459408444017968,0.29319249382111545,0.06,0.9382452074894033,0.8643291082277058,0.9215512266316293,0.92640643600498,0.04924716053277334,0.0805702669020873,0.6112324363107889,0.23,0.6232336803639269,0.5453281332033302,0.611267090309126,0.6151911549908909
within,8,0.02744328312425007,0.07991117773138408,0.343422333437492,0.065,0.895163912486376,0.8142128553213832,0.8895428805691646,0.8944855663037538,0.045605642715465376,0.07652206003992912,0.5959803315758673,0.17,0.6430796722942003,0.5745113627840697,0.5878186757629491,0.5917958396322042
within,9,0.024802350579530282,0.08459408444017967,0.2931924938211153,0.06,0.9382452074894034,0.8643291082277058,0.9215512266316295,0.92640643600498,0.04803897987427692,0.08108279510894364,0.5924682271958098,0.135,0.7297952095208197,0.647134178354459,0.6426168950746909,0.6462415083293568
within,10,0.02530723547815998,0.10290797964209066,0.24592102153960668,0.1,0.9538803967702494,0.8641251031275783,0.944413432886678,0.9493304221559877,0.04829615849334477,0.0806012120628936,0.5991989109997377,0.235,0.6449301238642744,0.5613125328133204,0.6315097129692079,0.6352209091006632
within,11,0.026769006041537754,0.1002078462561736,0.2671348306708924,0.08,0.938361348537096,0.887902197554939,0.9300693536727895,0.9350584587251024,0.043745785661022045,0.0851910588176613,0.513502077191614,0.195,0.7462929214645861,0.6718847971199281,0.7300094012131388,0.7348157639063954
within,12,0.02744328312425007,0.07991117773138408,0.343422333437492,0.065,0.8951639124863755,0.8142128553213832,0.8895428805691644,0.8944855663037538,0.045605642715465376,0.07652206003992912,0.5959803315758673,0.17,0.6430796722942003,0.5745113627840697,0.587818675762949,0.5917958396322044
within,13,0.02530723547815998,0.10290797964209066,0.24592102153960668,0.1,0.9538803967702494,0.8641251031275783,0.944413432886678,0.9493304221559877,0.04829615849334477,0.0806012120628936,0.5991989109997377,0.235,0.6449301238642743,0.5613125328133204,0.6315097129692079,0.6352209091006632
within,14,0.027119525544071422,0.1085819839774927,0.24976082173717568,0.055,0.9494840578931816,0.8923858096452413,0.9438761859156344,0.9488695313240885,0.050695064129301956,0.08532577281591337,0.5941354230529425,0.21,0.6689555494087895,0.5881092027300684,0.6461734412757185,0.6508076175066178
within,15,0.025307235478159988,0.10290797964209066,0.24592102153960674,0.1,0.9538803967702494,0.8641251031275783,0.944413432886678,0.9493304221559877,0.04829615849334478,0.0806012120628936,0.5991989109997379,0.235,0.6449301238642743,0.5613125328133204,0.6315097129692078,0.6352209091006632
within,16,0.027571684578249777,0.11433875408251855,0.2411403272625415,0.04,0.9496906160501934,0.8944783619590491,0.9397125345865719,0.9447035709295889,0.04770478206249509,0.08910054554951759,0.5354039278691417,0.21,0.7432779701151182,0.6621930548263707,0.7144326149901863,0.7190027714129291
within,17,0.026769006041537757,0.1002078462561736,0.26713483067089244,0.08,0.9383613485370962,0.887902197554939,0.9300693536727893,0.9350584587251024,0.04374578566102204,0.0851910588176613,0.513502077191614,0.195,0.7462929214645865,0.6718847971199281,0.7300094012131392,0.7348157639063956
within,18,0.023547128887282828,0.10127303815600035,0.23251133091327802,0.06,0.9612297505549896,0.9228980724518114,0.9468256550856414,0.9517744501008217,0.04606571269023451,0.07824787792288689,0.5887151691913252,0.15,0.7181767663296491,0.6055261381534539,0.6451381933879149,0.6484814245862877
within,19,0.026769006041537757,0.10020784625617361,0.2671348306708924,0.08,0.9383613485370962,0.887902197554939,0.9300693536727893,0.9350584587251024,0.04374578566102204,0.0851910588176613,0.513502077191614,0.195,0.7462929214645861,0.6718847971199281,0.7300094012131391,0.7348157639063954
within,20,0.027571684578249763,0.11433875408251855,0.2411403272625414,0.04,0.9496906160501934,0.8944783619590491,0.9397125345865719,0.9447035709295889,0.04770478206249507,0.08910054554951759,0.5354039278691415,0.21,0.7432779701151182,0.6621930548263707,0.7144326149901863,0.7190027714129292
within,21,0.024802350579530296,0.08459408444017968,0.2931924938211154,0.06,0.9382452074894033,0.8643291082277058,0.9215512266316293,0.92640643600498,0.04803897987427692,0.08108279510894364,0.5924682271958098,0.135,0.7297952095208194,0.647134178354459,0.6426168950746909,0.6462415083293568
within,22,0.025307235478159988,0.10290797964209064,0.24592102153960677,0.1,0.9538803967702496,0.8641251031275783,0.9444134328866782,0.9493304221559877,0.05779690696290885,0.09334538381492764,0.619172631798275,0.21,0.678441241352313,0.5449876246906173,0.6094484296783185,0.6140704284902262
within,23,0.02530723547815998,0.10290797964209066,0.24592102153960668,0.1,0.9538803967702496,0.8641251031275783,0.944413432886678,0.9493304221559877,0.05779690696290886,0.09334538381492764,0.6191726317982751,0.21,0.6784412413523131,0.5449876246906173,0.6094484296783186,0.6140704284902263
within,24,0.027119525544071422,0.1085819839774927,0.24976082173717568,0.055,0.9494840578931816,0.8923858096452413,0.9438761859156344,0.9488695313240885,0.050695064129301956,0.08532577281591337,0.5941354230529425,0.21,0.6689555494087894,0.5881092027300684,0.6461734412757185,0.6508076175066178
within,25,0.02354712888728282,0.10127303815600036,0.2325113309132779,0.06,0.9612297505549896,0.9228980724518114,0.9468256550856415,0.9517744501008217,0.04447106677750352,0.08398011104581414,0.5295428432244269,0.21,0.7268336382668714,0.6577394434860873,0.7140170193764535,0.7188145822798897
