tn_proba,fp_proba,fn_proba,tp_proba,accuracy_proba,balanced_accuracy_proba,f1_weighted_proba,f1_macro_proba,precision_1_proba,recall_1_proba,precision_0_proba,recall_0_proba,roc_auc_proba,tn_ratio,fp_ratio,fn_ratio,tp_ratio,accuracy_ratio,balanced_accuracy_ratio,f1_weighted_ratio,f1_macro_ratio,precision_1_ratio,recall_1_ratio,precision_0_ratio,recall_0_ratio,roc_auc_ratio,best_thresh_proba,tn_proba_best,fp_proba_best,fn_proba_best,tp_proba_best,balanced_accuracy_proba_best,accuracy_proba_best,f1_weighted_proba_best,f1_macro_proba_best,precision_1_proba_best,recall_1_proba_best,precision_0_proba_best,recall_0_proba_best,best_thresh_ratio,tn_ratio_best,fp_ratio_best,fn_ratio_best,tp_ratio_best,balanced_accuracy_ratio_best,accuracy_ratio_best,f1_weighted_ratio_best,f1_macro_ratio_best,precision_1_ratio_best,recall_1_ratio_best,precision_0_ratio_best,recall_0_ratio_best,perm_or_obs
200,0,611,24,0.2682634730538922,0.5188976377952756,0.1501574508884906,0.23424275308480763,1.0,0.03779527559055118,0.2466091245376079,1.0,0.6945433070866143,200,0,615,20,0.2634730538922156,0.515748031496063,0.1408339640052051,0.22757868612040763,1.0,0.031496062992125984,0.24539877300613497,1.0,0.8012913385826772,0.45,82,118,91,544,0.6333464566929133,0.7497005988023953,0.7432467803793094,0.6392685946740364,0.8217522658610272,0.8566929133858268,0.47398843930635837,0.41,0.44,158,42,207,428,0.7320078740157481,0.7017964071856287,0.7230753405294486,0.6669763344411965,0.9106382978723404,0.6740157480314961,0.4328767123287671,0.79,obs
97,103,308,327,0.5077844311377245,0.4999803149606299,0.5438034651219037,0.4673728320335234,0.7604651162790698,0.5149606299212598,0.23950617283950618,0.485,0.508763779527559,99,101,314,321,0.5029940119760479,0.500255905511811,0.5392649458260445,0.46519050345633317,0.7606635071090048,0.5055118110236221,0.2397094430992736,0.495,0.5033779527559055,0.51,184,16,580,55,0.5033070866141732,0.28622754491017965,0.20992362248103796,0.2687750520141525,0.7746478873239436,0.08661417322834646,0.24083769633507854,0.92,0.5,99,101,314,321,0.500255905511811,0.5029940119760479,0.5392649458260445,0.46519050345633317,0.7606635071090048,0.5055118110236221,0.2397094430992736,0.495,0
103,97,345,290,0.47065868263473054,0.4858464566929134,0.5077270261969357,0.4427079558358097,0.7493540051679587,0.4566929133858268,0.22991071428571427,0.515,0.49325196850393693,102,98,327,308,0.49101796407185627,0.49751968503937005,0.527687362248787,0.45803151855025054,0.7586206896551724,0.48503937007874015,0.23776223776223776,0.51,0.48989763779527556,0.52,198,2,622,13,0.505236220472441,0.25269461077844313,0.12340965128566399,0.21411764705882352,0.8666666666666667,0.02047244094488189,0.24146341463414633,0.99,0.48,5,195,12,623,0.5030511811023621,0.7520958083832335,0.6631760883483886,0.45180954072457746,0.7616136919315404,0.9811023622047244,0.29411764705882354,0.025,1
112,88,330,305,0.4994011976047904,0.5201574803149607,0.5348281944420551,0.47114743566432715,0.7760814249363868,0.48031496062992124,0.25339366515837103,0.56,0.5190472440944882,107,93,334,301,0.48862275449101794,0.504507874015748,0.5248709813967531,0.4594436838698038,0.7639593908629442,0.47401574803149604,0.24263038548752835,0.535,0.5172204724409448,0.5,112,88,330,305,0.5201574803149607,0.4994011976047904,0.5348281944420551,0.47114743566432715,0.7760814249363868,0.48031496062992124,0.25339366515837103,0.56,0.49,27,173,61,574,0.5194685039370079,0.7197604790419162,0.6766250422454657,0.5090900868306802,0.7684069611780455,0.9039370078740158,0.3068181818181818,0.135,2
100,100,314,321,0.5041916167664671,0.502755905511811,0.5403565463092175,0.4668437222386733,0.7624703087885986,0.5055118110236221,0.24154589371980675,0.5,0.4944645669291339,100,100,315,320,0.5029940119760479,0.5019685039370079,0.5392262521541128,0.4659191615612839,0.7619047619047619,0.5039370078740157,0.24096385542168675,0.5,0.49344881889763775,0.5,100,100,314,321,0.502755905511811,0.5041916167664671,0.5403565463092175,0.4668437222386733,0.7624703087885986,0.5055118110236221,0.24154589371980675,0.5,0.5,100,100,315,320,0.5019685039370079,0.5029940119760479,0.5392262521541128,0.4659191615612839,0.7619047619047619,0.5039370078740157,0.24096385542168675,0.5,3
98,102,325,310,0.48862275449101794,0.4890944881889764,0.5256863369940843,0.4533874204522284,0.7524271844660194,0.4881889763779528,0.23167848699763594,0.49,0.46444881889763784,88,112,323,312,0.47904191616766467,0.4656692913385827,0.5170955456057003,0.4386437503187548,0.7358490566037735,0.49133858267716535,0.2141119221411192,0.44,0.44985433070866143,0.53,200,0,634,1,0.5007874015748032,0.2407185628742515,0.09504945439219004,0.19499592472294197,1.0,0.0015748031496062992,0.23980815347721823,1.0,0.53,200,0,634,1,0.5007874015748032,0.2407185628742515,0.09504945439219004,0.19499592472294197,1.0,0.0015748031496062992,0.23980815347721823,1.0,4
102,98,311,324,0.5101796407185629,0.5101181102362204,0.545926175524945,0.47292268894853084,0.7677725118483413,0.510236220472441,0.2469733656174334,0.51,0.5058897637795275,105,95,311,324,0.5137724550898204,0.5176181102362205,0.5491979642577877,0.47785492496118676,0.7732696897374701,0.510236220472441,0.25240384615384615,0.525,0.5099724409448818,0.5,102,98,311,324,0.5101181102362204,0.5101796407185629,0.545926175524945,0.47292268894853084,0.7677725118483413,0.510236220472441,0.2469733656174334,0.51,0.5,105,95,311,324,0.5176181102362205,0.5137724550898204,0.5491979642577877,0.47785492496118676,0.7732696897374701,0.510236220472441,0.25240384615384615,0.525,5
105,95,312,323,0.5125748502994012,0.5168307086614173,0.5480652283836838,0.4769209220856979,0.7727272727272727,0.5086614173228347,0.2517985611510791,0.525,0.5109606299212598,103,97,317,318,0.5041916167664671,0.5078937007874016,0.5402157896189188,0.4689861751152074,0.7662650602409639,0.5007874015748032,0.24523809523809523,0.515,0.5078779527559055,0.5,105,95,312,323,0.5168307086614173,0.5125748502994012,0.5480652283836838,0.4769209220856979,0.7727272727272727,0.5086614173228347,0.2517985611510791,0.525,0.5,103,97,317,318,0.5078937007874016,0.5041916167664671,0.5402157896189188,0.4689861751152074,0.7662650602409639,0.5007874015748032,0.24523809523809523,0.515,6
105,95,336,299,0.48383233532934133,0.49793307086614175,0.5204201240796266,0.4543799244681157,0.7588832487309645,0.47086614173228347,0.23809523809523808,0.525,0.5100472440944882,104,96,321,314,0.5005988023952096,0.507244094488189,0.5367277311405896,0.4668784688995215,0.7658536585365854,0.494488188976378,0.2447058823529412,0.52,0.5130275590551181,0.49,20,180,61,574,0.5019685039370079,0.7113772455089821,0.6626267844317975,0.4844213174689797,0.7612732095490716,0.9039370078740158,0.24691358024691357,0.1,0.49,25,175,56,579,0.5184055118110236,0.7233532934131737,0.676625673044586,0.5058146237980677,0.7679045092838196,0.9118110236220472,0.30864197530864196,0.125,7
106,94,318,317,0.5065868263473053,0.5146062992125984,0.542316161910625,0.472931068294357,0.7712895377128953,0.49921259842519683,0.25,0.53,0.5176535433070866,103,97,324,311,0.49580838323353293,0.5023818897637795,0.5322110301455744,0.46245265390443774,0.7622549019607843,0.48976377952755906,0.24121779859484777,0.515,0.5190787401574803,0.49,25,175,55,580,0.5191929133858268,0.7245508982035929,0.677415979961967,0.506551901336074,0.7682119205298014,0.9133858267716536,0.3125,0.125,0.49,25,175,57,578,0.5176181102362205,0.7221556886227545,0.675835526200649,0.5050789952378032,0.7675962815405046,0.9102362204724409,0.3048780487804878,0.125,8
101,99,324,311,0.4934131736526946,0.4973818897637795,0.530061943099447,0.4592076555023923,0.7585365853658537,0.48976377952755906,0.2376470588235294,0.505,0.5045748031496062,103,97,318,317,0.5029940119760479,0.5071062992125984,0.539076840952966,0.46805407803459775,0.7657004830917874,0.49921259842519683,0.24465558194774348,0.515,0.511755905511811,0.49,28,172,52,583,0.5290551181102362,0.7317365269461078,0.6858312152673071,0.5194244604316547,0.7721854304635761,0.9181102362204724,0.35,0.14,0.49,30,170,54,581,0.5324803149606299,0.7317365269461078,0.6881763574856262,0.5248257220088206,0.7736351531291611,0.9149606299212598,0.35714285714285715,0.15,9
100,100,304,331,0.5161676646706587,0.5106299212598425,0.551579048084019,0.47606948051141235,0.7679814385150812,0.521259842519685,0.24752475247524752,0.5,0.4853149606299213,96,104,307,328,0.5077844311377245,0.49826771653543306,0.5438138815599927,0.4666079163694181,0.7592592592592593,0.5165354330708661,0.23821339950372208,0.48,0.48394094488188977,0.5,100,100,304,331,0.5106299212598425,0.5161676646706587,0.551579048084019,0.47606948051141235,0.7679814385150812,0.521259842519685,0.24752475247524752,0.5,0.52,199,1,623,12,0.5069488188976378,0.25269461077844313,0.12144313243484763,0.21323476117996665,0.9230769230769231,0.01889763779527559,0.24209245742092458,0.995,10
101,99,306,329,0.5149700598802395,0.5115551181102362,0.5504474598810024,0.4758935033576602,0.7686915887850467,0.5181102362204725,0.24815724815724816,0.505,0.5089133858267716,100,100,301,334,0.5197604790419161,0.512992125984252,0.5549179506533753,0.4788308852255907,0.7695852534562212,0.525984251968504,0.24937655860349128,0.5,0.5064685039370078,0.5,101,99,306,329,0.5115551181102362,0.5149700598802395,0.5504474598810024,0.4758935033576602,0.7686915887850467,0.5181102362204725,0.24815724815724816,0.505,0.5,100,100,301,334,0.512992125984252,0.5197604790419161,0.5549179506533753,0.4788308852255907,0.7695852534562212,0.525984251968504,0.24937655860349128,0.5,11
97,103,326,309,0.48622754491017967,0.4858070866141732,0.5234647273312931,0.450827174178,0.75,0.48661417322834644,0.2293144208037825,0.485,0.4683385826771653,98,102,342,293,0.4682634730538922,0.4757086614173228,0.5060141852217894,0.43759101941747575,0.7417721518987341,0.46141732283464565,0.22272727272727272,0.49,0.4629409448818898,0.49,19,181,58,577,0.5018307086614173,0.7137724550898203,0.6628604911510827,0.4828059845384737,0.7612137203166227,0.9086614173228347,0.24675324675324675,0.095,0.48,4,196,10,625,0.5021259842519685,0.7532934131736527,0.6618378473616595,0.44794983054328846,0.761266747868453,0.984251968503937,0.2857142857142857,0.02,12
94,106,313,322,0.49820359281437127,0.48854330708661414,0.5349073720744197,0.4577762417453324,0.7523364485981309,0.5070866141732283,0.23095823095823095,0.47,0.48161417322834643,90,110,317,318,0.48862275449101794,0.4753937007874016,0.5260273218992296,0.44742352082400216,0.7429906542056075,0.5007874015748032,0.22113022113022113,0.45,0.4833622047244095,0.51,180,20,571,64,0.5003937007874015,0.29221556886227545,0.2260547021066916,0.2782869653347841,0.7619047619047619,0.10078740157480315,0.2396804260985353,0.9,0.0,0,200,0,635,0.5,0.7604790419161677,0.6570125056010427,0.43197278911564624,0.7604790419161677,1.0,0.0,0.0,13
